Microsoft Windows [Version 10.0.19045.2251]
(c) Microsoft Corporation. All rights reserved.

C:\Luaan\CS331>python predict_contours.py
15 65 205 50 725 0.3827288273297005
15 65 220 50 725 0.3813280998739907
15 65 235 50 725 0.38272529199193583
15 65 250 50 725 0.3812441776224613
15 70 100 50 725 0.384717461465298
15 70 115 50 725 0.3848500996124932
15 70 130 50 725 0.38507531570932285
15 70 145 50 725 0.3802388420481717
15 70 160 50 725 0.3811284086565494
15 70 175 50 725 0.3800582622169846
15 70 190 50 725 0.3797443151267875
15 70 205 50 725 0.3794998307102117
15 70 220 50 725 0.3798758068796892
15 70 235 50 725 0.3779848972691102
15 70 250 50 725 0.3752397047659941
15 75 100 50 725 0.3835473526860447
15 75 115 50 725 0.38296197500567847
15 75 130 50 725 0.3835355748524114
15 75 145 50 725 0.37993358342645905
15 75 160 50 725 0.37988259626057674
15 75 175 50 725 0.3806354865931193
15 75 190 50 725 0.37760790038366004
15 75 205 50 725 0.37866562907397916
15 75 220 50 725 0.3786659400629085
15 75 235 50 725 0.37757244781719185
15 75 250 50 725 0.3743697683129841
15 80 100 50 725 0.3791249394941122
15 80 115 50 725 0.3809658052717252
15 80 130 50 725 0.38144792772320424
15 80 145 50 725 0.38073578527183705
15 80 160 50 725 0.3791291530746916
15 80 175 50 725 0.37360051103915576
15 80 190 50 725 0.3744972501214572
15 80 205 50 725 0.37762951002680034
15 80 220 50 725 0.37632603195125197
15 80 235 50 725 0.37275141474052526
15 80 250 50 725 0.3697750028125433
15 85 100 50 725 0.3776114742274694
15 85 115 50 725 0.37666602822099043
15 85 130 50 725 0.38175546325248144
15 85 145 50 725 0.3817901541303088
15 85 160 50 725 0.3764420406216733
15 85 175 50 725 0.3742490192150283
15 85 190 50 725 0.37274733858926645
15 85 205 50 725 0.3754331697838165
15 85 220 50 725 0.3740796885980863
15 85 235 50 725 0.37130003200514505
15 85 250 50 725 0.36864033616153624
15 90 100 50 725 0.37964460937646066
15 90 115 50 725 0.37621885870061894
15 90 130 50 725 0.376839186319911
15 90 145 50 725 0.3768997812511623
15 90 160 50 725 0.3752538549248082
15 90 175 50 725 0.370991162797581
15 90 190 50 725 0.37087476681462306
15 90 205 50 725 0.37543426411532455
15 90 220 50 725 0.3728838138792389
15 90 235 50 725 0.3682015930963359
15 90 250 50 725 0.3676763023865008
15 95 100 50 725 0.3759408523657982
15 95 115 50 725 0.3762215920099492
15 95 130 50 725 0.3777728679100355
15 95 145 50 725 0.3743792552327211
15 95 160 50 725 0.3699818296654507
15 95 175 50 725 0.37018866593398414
15 95 190 50 725 0.3727907522444019
15 95 205 50 725 0.3714850125468905
15 95 220 50 725 0.36851195165661627
15 95 235 50 725 0.365562394792332
15 95 250 50 725 0.36589654756181056
15 5 100 50 750 0.39583174546365607
15 5 115 50 750 0.40299030868658364
15 5 130 50 750 0.40298156406844343
15 5 145 50 750 0.4045898238935845
15 5 160 50 750 0.40250648842226694
15 5 175 50 750 0.4018750122102607
15 5 190 50 750 0.40113181790760527
15 5 205 50 750 0.39792711821811816
15 5 220 50 750 0.3921601124991496
15 5 235 50 750 0.3903892323482238
15 5 250 50 750 0.393455186995802
15 10 100 50 750 0.3964213125284198
15 10 115 50 750 0.3983529787294258
15 10 130 50 750 0.39928681275275996
15 10 145 50 750 0.40072978255770364
15 10 160 50 750 0.3990312110455358
15 10 175 50 750 0.3986446696232533
15 10 190 50 750 0.39838359557516606
15 10 205 50 750 0.396432553048664
15 10 220 50 750 0.390765915289052
15 10 235 50 750 0.3890797957127316
15 10 250 50 750 0.392420332387905
15 15 100 50 750 0.393010683243222
15 15 115 50 750 0.3981172671069606
15 15 130 50 750 0.4025920539293669
15 15 145 50 750 0.4008464111217595
15 15 160 50 750 0.3986626421638001
15 15 175 50 750 0.39671085106040443
15 15 190 50 750 0.39679789724293707
15 15 205 50 750 0.39577288217755296
15 15 220 50 750 0.38893985337551046
15 15 235 50 750 0.38709285190621057
15 15 250 50 750 0.39021998074461517
15 20 100 50 750 0.39761309422635027
15 20 115 50 750 0.39787641350967623
15 20 130 50 750 0.39998548987775506
15 20 145 50 750 0.3996303326105078
15 20 160 50 750 0.3954816091182356
15 20 175 50 750 0.3951416456892684
15 20 190 50 750 0.393400231882159
15 20 205 50 750 0.3922659336746439
15 20 220 50 750 0.38576625091262867
15 20 235 50 750 0.3871549028034867
15 20 250 50 750 0.3902389394581934
15 25 100 50 750 0.4010153087452181
15 25 115 50 750 0.4026446157264249
15 25 130 50 750 0.4016361078176257
15 25 145 50 750 0.39746850610992174
15 25 160 50 750 0.3925542578773134
15 25 175 50 750 0.39207409543079547
15 25 190 50 750 0.3905859317215512
15 25 205 50 750 0.3880597560466301
15 25 220 50 750 0.3840188058194811
15 25 235 50 750 0.3831850138939821
15 25 250 50 750 0.386875679310337
15 30 100 50 750 0.3999311924733444
15 30 115 50 750 0.4040460507056075
15 30 130 50 750 0.3987196899401765
15 30 145 50 750 0.3974440771230846
15 30 160 50 750 0.3959571979458087
15 30 175 50 750 0.3895906895863737
15 30 190 50 750 0.3878024684150566
15 30 205 50 750 0.3880546737420152
15 30 220 50 750 0.3832712897499288
15 30 235 50 750 0.3819381865220947
15 30 250 50 750 0.38206253177732385
15 35 100 50 750 0.4000162602175715
15 35 115 50 750 0.4030482527612023
15 35 130 50 750 0.39964248249961215
15 35 145 50 750 0.39776285948074724
15 35 160 50 750 0.39528797248217257
15 35 175 50 750 0.3894635722695298
15 35 190 50 750 0.390454827177578
15 35 205 50 750 0.3904140967160458
15 35 220 50 750 0.3823724594772489
15 35 235 50 750 0.3860339261021368
15 35 250 50 750 0.3871389496868799
15 40 100 50 750 0.4003466177843893
15 40 115 50 750 0.3968461618833737
15 40 130 50 750 0.3973173917628726
15 40 145 50 750 0.39715594409236604
15 40 160 50 750 0.39159249560399123
15 40 175 50 750 0.3901795718599815
15 40 190 50 750 0.38771036719107443
15 40 205 50 750 0.3869816769175784
15 40 220 50 750 0.3854537498241834
15 40 235 50 750 0.38632643681622364
15 40 250 50 750 0.3851521380116106
15 45 100 50 750 0.39824296115312113
15 45 115 50 750 0.4006591675735256
15 45 130 50 750 0.39697641020029245
15 45 145 50 750 0.39360868958401274
15 45 160 50 750 0.39263586623042024
15 45 175 50 750 0.38564995335858104
15 45 190 50 750 0.3869040585253805
15 45 205 50 750 0.3877052284406828
15 45 220 50 750 0.385037460591099
15 45 235 50 750 0.38885172201391405
15 45 250 50 750 0.3881370852744318
15 50 100 50 750 0.39910883062454644
15 50 115 50 750 0.3977917355300862
15 50 130 50 750 0.39593661470550323
15 50 145 50 750 0.39450637750007567
15 50 160 50 750 0.3892017238800204
15 50 175 50 750 0.38575538528241166
15 50 190 50 750 0.3863240257290133
15 50 205 50 750 0.3882277162702887
15 50 220 50 750 0.3871797889457926
15 50 235 50 750 0.3919634121528726
15 50 250 50 750 0.39252384250274264
15 55 100 50 750 0.39851918330150654
15 55 115 50 750 0.39532584983057256
15 55 130 50 750 0.393903149007994
15 55 145 50 750 0.39221978738835805
15 55 160 50 750 0.38669340106451416
15 55 175 50 750 0.3862957385594392
15 55 190 50 750 0.38471307301927926
15 55 205 50 750 0.3890659482214257
15 55 220 50 750 0.3843203812212073
15 55 235 50 750 0.38882417824106474
15 55 250 50 750 0.3899191230683597
15 60 100 50 750 0.3929435744198089
15 60 115 50 750 0.38991110633885595
15 60 130 50 750 0.3894796178720313
15 60 145 50 750 0.3872272480913968
15 60 160 50 750 0.381647970744727
15 60 175 50 750 0.3843521540284494
15 60 190 50 750 0.3860092116281456
15 60 205 50 750 0.3854373368768432
15 60 220 50 750 0.3836309127300712
15 60 235 50 750 0.3855039617618818
15 60 250 50 750 0.38572322934333353
15 65 100 50 750 0.3915325832468324
15 65 115 50 750 0.390246954256424
15 65 130 50 750 0.3843167251032117
15 65 145 50 750 0.3829064333377536
15 65 160 50 750 0.3804724975858092
15 65 175 50 750 0.38379573587402155
15 65 190 50 750 0.3831425396564233
15 65 205 50 750 0.3859427678533547
15 65 220 50 750 0.38449181516075775
15 65 235 50 750 0.3847095853867131
15 65 250 50 750 0.38198557031338454
15 70 100 50 750 0.3859713591924595
15 70 115 50 750 0.38799261113323047
15 70 130 50 750 0.3850569209320571
15 70 145 50 750 0.382407113851275
15 70 160 50 750 0.3820544455229089
15 70 175 50 750 0.3836455920342297
15 70 190 50 750 0.3797443151267875
15 70 205 50 750 0.38487455784216956
15 70 220 50 750 0.3818692784618705
15 70 235 50 750 0.379222764958314
15 70 250 50 750 0.376445383171203
15 75 100 50 750 0.3860036982820003
15 75 115 50 750 0.38610824996727605
15 75 130 50 750 0.3856888308630432
15 75 145 50 750 0.3850753631430576
15 75 160 50 750 0.37988259626057674
